"Interest","Zinsen für Ratenzahlung"
"Verify Credentials with easyCredit","Zugangsdaten überprüfen"
"New Order Status","Status neuer Bestellungen"
"Unfortunately, easyCredit payment cannot be offered.","Leider kann der Ratenkauf bei easyCredit nicht angeboten werden."
"easyCredit payment has been canceled.","ratenkauf by easyCredit wurde abgebrochen."
"Unable to initialize easyCredit Payment.","ratenkauf by easyCredit kann nicht initialisiert werden."
"Unable to initialize easyCredit Checkout review.","ratenkauf by EasyCredit Bestellübersicht kann nicht initialisiert werden."
"Unable to validate easyCredit Payment.","ratenkauf by easyCredit Zahlung kann nicht validiert werden."
"Unable to start easyCredit Payment.","ratenkauf by easyCredit Zahlung kann nicht gestartet werden."
"If activated, API call details will be saved to var/log/easycredit.log","Falls aktiviert, werden API-Aufrufe zu Debugging-Zwecken in var/log/easycredit.log geloggt."
"Please insert your apiKey and apiToken!","Bitte geben Sie API Key und API Token an."
"Credentials invalid. Please check your input!","Die Zugangsdaten sind nicht korrekt. Bitte überprüfen Sie API Key und API Token."
"Credentials correct!","Die Zugangsdaten sind korrekt. Nach Speichern der Einstellungen, können Sie die Zahlungsart nun verwenden."
"Redemption Plan","Tilgungsplan"
